,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_cleaned,price_per_sqft
4819,Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Pelle P,1500,3.0,2.0,88.0,3,1500.0,5866.666666666667
4820,Plot  Area,Ready To Move,Cottonpet,5 Bedroom,not provided,958,3.0,1.0,210.0,5,958.0,21920.668058455114
4821,Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1165,2.0,2.0,75.0,2,1165.0,6437.768240343347
4822,Plot  Area,Ready To Move,Upkar Layout,7 Bedroom,not provided,1200,7.0,3.0,169.0,7,1200.0,14083.333333333334
4823,Super built-up  Area,19-Jan,Kasavanhalli,3 BHK,not provided,1787,3.0,2.0,123.0,3,1787.0,6883.044208170118
4824,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,not provided,1288,2.0,1.0,70.0,3,1288.0,5434.782608695652
4825,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,54.11,3,1430.0,3783.916083916084
4827,Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,not provided,750,1.0,1.0,25.5,1,750.0,3400.0
4828,Plot  Area,Ready To Move,Yelachenahalli,4 Bedroom,BaiseBa,900,2.0,1.0,115.0,4,900.0,12777.777777777777
4829,Plot  Area,18-Jun,Channasandra,3 Bedroom,not provided,1200,3.0,1.0,67.77,3,1200.0,5647.5
4830,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,78.0,3,1500.0,5200.0
4831,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,not provided,1230,2.0,2.0,66.25,2,1230.0,5386.178861788618
4832,Super built-up  Area,Ready To Move,Marathahalli,1 BHK,Asintas,780,1.0,1.0,55.0,1,780.0,7051.282051282052
4833,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrliaRe,1220,2.0,1.0,80.0,2,1220.0,6557.377049180328
4834,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shine S,1110,2.0,2.0,43.0,2,1110.0,3873.873873873874
4836,Plot  Area,Ready To Move,Hosakerehalli,9 Bedroom,not provided,1380,9.0,0.0,150.0,9,1380.0,10869.565217391304
4837,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,not provided,1690,3.0,2.0,85.0,3,1690.0,5029.585798816568
4838,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrarePa,1130,2.0,2.0,78.0,2,1130.0,6902.654867256637
4839,Super built-up  Area,20-Dec,Electronic City,2 BHK,KonteiT,1213,2.0,1.0,59.32,2,1213.0,4890.35449299258
4840,Super built-up  Area,Ready To Move,Kengeri,2 BHK,BDlexHo,900,2.0,2.0,45.0,2,900.0,5000.0
4841,Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1199,2.0,1.0,85.0,2,1199.0,7089.241034195163
4844,Plot  Area,Ready To Move,Bellandur,7 Bedroom,not provided,700,8.0,0.0,100.0,7,700.0,14285.714285714286
4845,Super built-up  Area,20-Dec,Uttarahalli,1 BHK,PrdgeLa,661,1.0,1.0,36.0,1,661.0,5446.293494704993
4847,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1710,3.0,2.0,100.0,3,1710.0,5847.953216374269
4848,Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,1030,2.0,2.0,50.0,2,1030.0,4854.368932038835
4849,Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3.0,2.0,56.0,3,1220.0,4590.163934426229
4850,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,not provided,1530,3.0,2.0,73.5,3,1530.0,4803.921568627451
4851,Plot  Area,18-Apr,Ramamurthy Nagar,2 Bedroom,not provided,1200,2.0,1.0,78.0,2,1200.0,6500.0
4852,Super built-up  Area,Ready To Move,Rajarajeshwari nagar,3 BHK,not provided,2000,3.0,2.0,85.0,3,2000.0,4250.0
4853,Carpet  Area,Ready To Move,Nagarbhavi,1 BHK,not provided,300,1.0,1.0,20.0,1,300.0,6666.666666666667
4854,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1751,2.0,1.0,115.0,3,1751.0,6567.6756139348945
4855,Built-up  Area,Ready To Move,R.T. Nagar,2 Bedroom,Sants A,800,1.0,0.0,170.0,2,800.0,21250.0
4856,Super built-up  Area,Ready To Move,Panathur,2 BHK,Saarep ,1255,2.0,2.0,79.0,2,1255.0,6294.820717131474
4857,Super built-up  Area,20-Nov,Whitefield,3 BHK,PritaDo,1778,3.0,2.0,122.0,3,1778.0,6861.6422947131605
4858,Super built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,Swhtsna,1100,2.0,1.0,45.0,2,1100.0,4090.909090909091
4859,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Eltert ,1480,2.0,2.0,65.0,2,1480.0,4391.891891891892
4860,Super built-up  Area,17-Jul,Marathahalli,2 BHK,Prionad,1358,2.0,1.0,81.0,2,1358.0,5964.653902798233
4861,Built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,PaownNe,580,1.0,1.0,27.0,1,580.0,4655.172413793103
4862,Super built-up  Area,18-May,Choodasandra,2 BHK,Emhtsl ,1197,2.0,1.0,63.0,2,1197.0,5263.1578947368425
4863,Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,not provided,1200,2.0,1.0,170.0,4,1200.0,14166.666666666666
4864,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1705,3.0,1.0,110.0,3,1705.0,6451.612903225807
4865,Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1310,2.0,1.0,37.83,3,1310.0,2887.7862595419847
4866,Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1132,2.0,0.0,67.9,2,1132.0,5998.233215547704
4867,Plot  Area,Ready To Move,SMV layout,3 Bedroom,not provided,1200,3.0,0.0,140.0,3,1200.0,11666.666666666666
4868,Built-up  Area,Ready To Move,Peenya,2 BHK,not provided,814,2.0,1.0,55.0,2,814.0,6756.756756756757
4869,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1575,3.0,2.0,90.0,3,1575.0,5714.285714285715
4870,Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,MaidoPl,1302,2.0,1.0,66.0,2,1302.0,5069.124423963133
4871,Plot  Area,Ready To Move,Sultan Palaya,6 Bedroom,not provided,1800,8.0,1.0,175.0,6,1800.0,9722.222222222223
4872,Super built-up  Area,18-Jan,Hegde Nagar,3 BHK,SoisoCa,2006.8,4.0,2.0,196.0,3,2006.8,9766.792904125972
4873,Built-up  Area,Ready To Move,Saptagiri Layout,2 BHK,not provided,1100,2.0,2.0,44.0,2,1100.0,4000.0
4875,Super built-up  Area,Ready To Move,Doddabanahalli,2 BHK,not provided,830,2.0,2.0,37.0,2,830.0,4457.831325301205
4876,Built-up  Area,Ready To Move, Electronic City,1 RK,GMown E,435,1.0,1.0,19.5,1,435.0,4482.758620689655
4877,Super built-up  Area,Ready To Move,Mathikere,3 BHK,Dovel M,1590,3.0,0.0,120.0,3,1590.0,7547.169811320755
4878,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1140,2.0,1.0,33.06,2,1140.0,2900.0
4879,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1090,2.0,2.0,59.8,2,1090.0,5486.238532110092
4880,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,R ra  R,1922,3.0,3.0,106.0,3,1922.0,5515.088449531738
4881,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,965,2.0,1.0,67.0,2,965.0,6943.00518134715
4882,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,not provided,883,2.0,1.0,40.95,2,883.0,4637.5990939977355
4883,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1062,2.0,1.0,42.47,2,1062.0,3999.0583804143125
4884,Super built-up  Area,18-Oct,Electronic City Phase II,2 BHK,SRhtsa ,888 - 1290,2.0,0.0,32.67,2,1089.0,3000.0
4885,Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,ARngsd ,1358,2.0,1.0,43.1,3,1358.0,3173.784977908689
4886,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1108,2.0,1.0,87.0,2,1108.0,7851.985559566787
4887,Super built-up  Area,17-Jun,Harlur,2 BHK,Prncyrn,1197,2.0,1.0,79.0,2,1197.0,6599.832915622389
4888,Super built-up  Area,19-Jul,Sarjapur  Road,2 BHK,Frhtsr ,1190,2.0,1.0,50.0,2,1190.0,4201.680672268908
4890,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1749,3.0,1.0,117.0,3,1749.0,6689.536878216123
4891,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,NVanat ,1750,3.0,2.0,215.0,4,1750.0,12285.714285714286
4892,Super built-up  Area,18-Aug,Kasavanhalli,3 BHK,not provided,1691,3.0,2.0,104.0,3,1691.0,6150.206978119456
4893,Built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1449,3.0,2.0,100.0,3,1449.0,6901.311249137336
4895,Built-up  Area,Ready To Move,Whitefield,2 BHK,Vastael,1400,2.0,1.0,80.0,2,1400.0,5714.285714285715
4896,Super built-up  Area,18-Dec,Electronic City,3 BHK,not provided,1310,2.0,1.0,37.83,3,1310.0,2887.7862595419847
4897,Built-up  Area,18-May,Vijayabank bank layout,2 BHK,not provided,1100,2.0,1.0,48.0,2,1100.0,4363.636363636364
4898,Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,not provided,1230,2.0,2.0,53.51,3,1230.0,4350.40650406504
4899,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1750,3.0,2.0,130.0,3,1750.0,7428.571428571428
4900,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,1450,3.0,2.0,100.0,3,1450.0,6896.551724137931
4901,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,SNnia E,1810,3.0,2.0,126.0,3,1810.0,6961.325966850829
4902,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,62.3,2,1246.0,5000.0
4903,Super built-up  Area,Ready To Move,Brookefield,3 BHK,Baentgi,1420,3.0,2.0,85.0,3,1420.0,5985.915492957746
4905,Super built-up  Area,18-Oct,6th block Koramangala,3 BHK,not provided,1450,2.0,3.0,89.6,3,1450.0,6179.310344827586
4907,Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,Hoens T,1367,2.0,2.0,62.0,2,1367.0,4535.479151426482
4908,Built-up  Area,18-Aug,Talaghattapura,3 BHK,Sodgere,2254,3.0,2.0,170.0,3,2254.0,7542.147293700089
4909,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,42.0,2,1160.0,3620.689655172414
4910,Plot  Area,Ready To Move,Sanjay nagar,5 Bedroom,not provided,1200,4.0,0.0,185.0,5,1200.0,15416.666666666666
4911,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,KMnorab,1711,3.0,3.0,75.0,3,1711.0,4383.4015195791935
4912,Plot  Area,Ready To Move,Hosahalli Extension,9 Bedroom,not provided,750,6.0,3.0,112.0,9,750.0,14933.333333333334
4913,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1120,2.0,2.0,37.97,2,1120.0,3390.1785714285716
4914,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,47.0,2,950.0,4947.368421052632
4915,Built-up  Area,Ready To Move,Basavangudi,2 BHK,Asncyes,1560,2.0,2.0,145.0,2,1560.0,9294.871794871795
4916,Super built-up  Area,Ready To Move,1Channasandra,14 BHK,not provided,1250,15.0,0.0,125.0,14,1250.0,10000.0
4917,Super built-up  Area,18-Aug,Kanakpura Road,2 BHK,not provided,1225,2.0,2.0,60.0,2,1225.0,4897.959183673469
4918,Plot  Area,Ready To Move,TC Palaya,3 Bedroom,not provided,1200,2.0,0.0,66.0,3,1200.0,5500.0
4919,Built-up  Area,Ready To Move,Tala Cauvery Layout,2 BHK,Skarkev,1340,2.0,3.0,77.0,2,1340.0,5746.268656716418
4920,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1846,3.0,3.0,145.0,3,1846.0,7854.821235102925
4921,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,not provided,1155,2.0,1.0,46.0,2,1155.0,3982.683982683983
4922,Super built-up  Area,17-Jun,Balagere,2 BHK,Soresea,1205,2.0,1.0,70.0,2,1205.0,5809.128630705394
4923,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1140,2.0,1.0,36.0,2,1140.0,3157.8947368421054
4924,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140,2.0,2.0,38.65,2,1140.0,3390.3508771929824
4925,Super built-up  Area,Ready To Move,Jalahalli East,3 BHK,ShshaSa,1300,2.0,1.0,63.0,3,1300.0,4846.153846153846
4926,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Soodsa ,1051,2.0,2.0,60.0,2,1051.0,5708.848715509039
4927,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,not provided,1134,2.0,1.0,45.36,2,1134.0,4000.0
4930,Built-up  Area,Ready To Move,Basavanapura,2 BHK,Dwity T,1135,2.0,2.0,32.91,2,1135.0,2899.5594713656383
4931,Built-up  Area,Ready To Move,"Whitefield, ",3 BHK,not provided,1745,3.0,2.0,77.0,3,1745.0,4412.607449856733
4932,Plot  Area,Ready To Move,Banashankari,5 Bedroom,not provided,500,5.0,2.0,92.0,5,500.0,18400.0
4933,Super built-up  Area,Ready To Move,Kempegowda Nagar,3 BHK,Srowsrj,1665,3.0,2.0,105.0,3,1665.0,6306.306306306306
4934,Super built-up  Area,17-Dec,Bellari Road,2 BHK,SaareNo,1220,2.0,2.0,48.79,2,1220.0,3999.1803278688526
4935,Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,not provided,1868,3.0,2.0,113.0,3,1868.0,6049.250535331906
4936,Built-up  Area,Ready To Move,Anandapura,3 Bedroom,not provided,640,3.0,0.0,45.0,3,640.0,7031.25
4937,Plot  Area,Ready To Move,Vaderahalli,4 Bedroom,not provided,2300,4.0,2.0,200.0,4,2300.0,8695.652173913044
4938,Super built-up  Area,20-Dec,Akshayanagara East,2 BHK,not provided,1210,2.0,1.0,76.0,2,1210.0,6280.99173553719
4939,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJodsed,1351,2.0,1.0,77.0,2,1351.0,5699.481865284974
4940,Super built-up  Area,21-Dec,Hebbal,3 BHK,Oztarol,1636,3.0,1.0,119.0,3,1636.0,7273.838630806846
4942,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NRowse ,1464,2.0,2.0,56.0,2,1464.0,3825.136612021858
4943,Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,418,1.0,1.0,12.0,1,418.0,2870.813397129187
4944,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,62.0,2,1339.0,4630.321135175504
4945,Super built-up  Area,18-Jul,Bannerghatta,3 BHK,Mamespa,2370,4.0,2.0,195.0,3,2370.0,8227.848101265823
4946,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.5,3,1530.0,4869.281045751634
4947,Super built-up  Area,Ready To Move,Mallathahalli,2 BHK,DSvil S,1100,2.0,1.0,46.0,2,1100.0,4181.818181818182
4948,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,not provided,1350,3.0,2.0,58.0,3,1350.0,4296.2962962962965
4949,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Srers T,1290,2.0,2.0,52.0,2,1290.0,4031.0077519379847
4950,Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,not provided,1220,2.0,1.0,35.23,3,1220.0,2887.7049180327863
4951,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SollaMa,1846,3.0,2.0,155.0,3,1846.0,8396.533044420368
4952,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1847,3.0,2.0,135.0,3,1847.0,7309.1499729290745
4954,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1430,2.0,2.0,110.0,2,1430.0,7692.307692307692
4955,Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,935,2.0,1.0,45.0,2,935.0,4812.834224598931
4956,Plot  Area,Ready To Move,Attibele,3 Bedroom,not provided,1350,3.0,1.0,85.0,3,1350.0,6296.2962962962965
4957,Built-up  Area,Ready To Move,Kammanahalli,3 Bedroom,not provided,540,3.0,1.0,60.0,3,540.0,11111.111111111111
4958,Super built-up  Area,18-Sep,Hennur Road,3 BHK,Shxorm ,1590,3.0,2.0,96.5,3,1590.0,6069.182389937107
4959,Built-up  Area,18-Apr,Peenya,3 BHK,not provided,1286,3.0,1.0,67.0,3,1286.0,5209.9533437014
4960,Built-up  Area,Ready To Move,Samethanahalli,2 BHK,not provided,1141,2.0,2.0,40.0,2,1141.0,3505.6967572304998
4961,Super built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,not provided,1554,3.0,3.0,130.0,2,1554.0,8365.508365508365
4964,Super built-up  Area,Ready To Move,Harlur,3 BHK,not provided,1749,3.0,2.0,112.0,3,1749.0,6403.659233847913
4966,Carpet  Area,Ready To Move,K R C kothanur,2 BHK,not provided,1140,2.0,3.0,45.0,2,1140.0,3947.3684210526317
4967,Plot  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1632,3.0,1.0,128.0,4,1632.0,7843.137254901961
4968,Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,ItRRVna,1000,2.0,1.0,41.0,3,1000.0,4100.0
4969,Super built-up  Area,Ready To Move,Nyanappana Halli,2 BHK,Salms G,1065,2.0,1.0,58.0,2,1065.0,5446.0093896713615
4970,Super built-up  Area,18-Mar,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,96.0,3,1520.0,6315.789473684211
4971,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,43.0,3,1075.0,4000.0
4973,Built-up  Area,Ready To Move,Gubbalala,3 BHK,Names H,1539,2.0,2.0,52.36,3,1539.0,3402.2092267706303
4974,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,Saitya ,1342,2.0,2.0,115.0,2,1342.0,8569.29955290611
4975,Super built-up  Area,Ready To Move,HBR Layout,2 BHK,Feissx ,1004,2.0,1.0,49.0,2,1004.0,4880.478087649402
4976,Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVodsve,1295,2.0,2.0,95.0,2,1295.0,7335.907335907336
4977,Super built-up  Area,17-Oct,Thanisandra,2 BHK,Bhmesy ,1098,2.0,1.0,74.0,2,1098.0,6739.526411657559
4978,Super built-up  Area,Ready To Move,Kothanur,2 BHK,not provided,1070,2.0,1.0,45.5,2,1070.0,4252.336448598131
4979,Super built-up  Area,Ready To Move,Hosa Road,2 BHK,not provided,1016,2.0,2.0,40.0,2,1016.0,3937.0078740157483
4980,Built-up  Area,Ready To Move,Bellandur,3 BHK,Srthaa ,1450,3.0,1.0,68.0,3,1450.0,4689.6551724137935
4981,Super built-up  Area,18-Apr,Yelahanka,1 BHK,Prensya,654,1.0,1.0,37.0,1,654.0,5657.492354740061
4983,Super built-up  Area,18-Aug,Yelachenahalli,2 BHK,not provided,1080,2.0,2.0,38.0,2,1080.0,3518.5185185185187
4984,Super built-up  Area,21-Jun,Vijayanagar,2 BHK,Saahaat,1046,2.0,1.0,75.0,2,1046.0,7170.172084130019
4985,Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1950,3.0,3.0,165.0,3,1950.0,8461.538461538461
4986,Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,Rosha I,1610,3.0,1.0,84.53,3,1610.0,5250.310559006211
4987,Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,not provided,2493,3.0,2.0,115.0,3,2493.0,4612.916165262735
4988,Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,50.5,2,1151.0,4387.489139878367
4989,Super built-up  Area,Ready To Move,Electronic City,2 BHK,PaanaCh,1125,2.0,1.0,58.0,2,1125.0,5155.555555555556
4990,Super built-up  Area,18-Mar,Kammasandra,2 BHK,not provided,992,2.0,2.0,25.79,2,992.0,2599.798387096774
4991,Super built-up  Area,Ready To Move,1st Block Jayanagar,2 BHK,not provided,1000,3.0,2.0,60.0,2,1000.0,6000.0
4993,Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,AxinoCi,1850,3.0,2.0,90.0,3,1850.0,4864.864864864865
4994,Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,75.0,2,1174.0,6388.415672913117
4996,Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,not provided,1100,2.0,1.0,45.0,2,1100.0,4090.909090909091
4997,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,not provided,1095,2.0,1.0,38.33,2,1095.0,3500.4566210045664
4999,Plot  Area,18-Mar,Choodasandra,3 Bedroom,not provided,900,4.0,3.0,155.0,3,900.0,17222.222222222223
5000,Super built-up  Area,Ready To Move,Kengeri Hobli,3 BHK,not provided,1082,2.0,0.0,42.0,3,1082.0,3881.7005545286506
5001,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,not provided,1350,2.0,3.0,47.24,3,1350.0,3499.259259259259
5002,Super built-up  Area,17-Dec,Kadugodi,2 BHK,Alestrb,1314,2.0,2.0,78.0,2,1314.0,5936.07305936073
5003,Super built-up  Area,18-May,Maithri Layout,2 BHK,not provided,1290,2.0,3.0,40.63,2,1290.0,3149.6124031007757
5004,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,WishiVa,1010,2.0,2.0,55.0,2,1010.0,5445.544554455446
5005,Built-up  Area,Ready To Move,Shivaji Nagar,2 Bedroom,not provided,2200,2.0,0.0,110.0,2,2200.0,5000.0
5006,Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,not provided,1636,3.0,2.0,97.0,3,1636.0,5929.095354523228
5007,Super built-up  Area,18-Jul,9th Phase JP Nagar,2 BHK,not provided,1050,2.0,2.0,39.0,2,1050.0,3714.285714285714
5008,Plot  Area,Ready To Move,7th Phase JP Nagar,2 Bedroom,not provided,1200,2.0,2.0,200.0,2,1200.0,16666.666666666668
5009,Super built-up  Area,18-Aug,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,125.0,3,1520.0,8223.684210526315
5010,Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,not provided,2500,5.0,2.0,110.0,5,2500.0,4400.0
5011,Super built-up  Area,20-Aug,Sarjapur  Road,2 BHK,Ahciace,1067,2.0,1.0,60.0,2,1067.0,5623.242736644798
5012,Built-up  Area,Ready To Move,NRI Layout,2 BHK,not provided,1060,2.0,2.0,35.0,2,1060.0,3301.8867924528304
5013,Super built-up  Area,18-Mar,Bommasandra,2 BHK,SSestth,955,2.0,1.0,35.28,2,955.0,3694.240837696335
5014,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,104.0,2,1418.0,7334.273624823695
5015,Plot  Area,Ready To Move,8th Phase JP Nagar,9 Bedroom,not provided,1200,8.0,2.0,225.0,9,1200.0,18750.0
5016,Built-up  Area,Ready To Move,Anekal,2 BHK,not provided,700,1.0,0.0,19.4,2,700.0,2771.428571428571
5017,Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,PrityFa,1366,2.0,1.0,83.0,2,1366.0,6076.134699853587
5018,Built-up  Area,Ready To Move,Electronic City,2 BHK,PronsEn,1090,2.0,2.0,35.03,2,1090.0,3213.761467889908
5019,Built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1250,3.0,2.0,58.0,3,1250.0,4640.0
5021,Super built-up  Area,21-Aug,Electronics City Phase 1,2 BHK,not provided,950,2.0,1.0,33.0,2,950.0,3473.684210526316
5022,Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Suurtni,1470,2.0,2.0,170.0,2,1470.0,11564.625850340137
5023,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,not provided,1250,2.0,2.0,40.0,2,1250.0,3200.0
5024,Plot  Area,Ready To Move,HBR Layout,4 Bedroom,not provided,800,4.0,1.0,180.0,4,800.0,22500.0
5025,Super built-up  Area,Ready To Move,Badavala Nagar,3 BHK,DNncasa,1494,2.0,2.0,94.55,3,1494.0,6328.647925033467
5026,Built-up  Area,18-May,Hennur Road,3 BHK,Maity W,1445,2.0,1.0,105.0,3,1445.0,7266.435986159169
5027,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1397,3.0,3.0,105.0,3,1397.0,7516.1059413027915
5028,Super built-up  Area,19-Dec,Vijayanagar,1 BHK,Saityat,606,1.0,1.0,40.0,1,606.0,6600.660066006601
5029,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2.0,1.0,34.5,2,861.0,4006.968641114983
5030,Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,not provided,1170,2.0,2.0,40.0,2,1170.0,3418.803418803419
5032,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Dwterai,1205,2.0,1.0,75.0,2,1205.0,6224.066390041494
5033,Plot  Area,Ready To Move,Cottonpet,8 Bedroom,not provided,1224,4.0,0.0,200.0,8,1224.0,16339.869281045752
5034,Built-up  Area,Ready To Move,Rajaji Nagar,1 BHK,not provided,660,1.0,0.0,75.0,1,660.0,11363.636363636364
5035,Super built-up  Area,Ready To Move,Dommasandra,2 BHK,not provided,1153,2.0,2.0,43.5,2,1153.0,3772.7666955767563
5038,Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,J isear,1200,2.0,2.0,62.0,2,1200.0,5166.666666666667
5039,Built-up  Area,Ready To Move,Vignana Nagar,3 BHK,Mallad ,1450,3.0,3.0,42.0,3,1450.0,2896.551724137931
5040,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2.0,2.0,60.0,2,1139.0,5267.778753292362
5041,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soinequ,1530,3.0,2.0,105.0,3,1530.0,6862.745098039216
5043,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1575,3.0,3.0,101.0,3,1575.0,6412.6984126984125
5044,Super built-up  Area,Ready To Move,Whitefield,1 BHK,Pranthi,650,1.0,1.0,25.0,1,650.0,3846.153846153846
5045,Super built-up  Area,18-Apr,Sai Gardens,2 BHK,not provided,1120,2.0,2.0,40.0,2,1120.0,3571.4285714285716
5046,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,BMoldar,1700,3.0,1.0,80.0,3,1700.0,4705.882352941177
5047,Super built-up  Area,Ready To Move,Varthur,2 BHK,Ikmesay,1090,2.0,2.0,48.0,2,1090.0,4403.6697247706425
5048,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,not provided,1897,4.0,2.0,93.0,3,1897.0,4902.477596204533
5049,Plot  Area,18-Feb,Nelamangala,3 Bedroom,V2gesre,1200,3.0,2.0,72.0,3,1200.0,6000.0
5050,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,40.0,2,700.0,5714.285714285715
5051,Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1437,2.0,1.0,71.13,2,1437.0,4949.895615866389
